,PCA1,PCA2,PCA3,PCA4,UMAP1,UMAP2
batch10/KL_200518_M436_223.mzML,2.999071,1.0089686,-1.2872967,-1.366724,-4.2066298,7.479466
F088_210524_M462_021.mzML,-2.6387942,-2.4399943,-1.1061105,1.3491573,15.33949,14.111413
F088_210524_M462_141.mzML,0.3678783,2.6498618,-0.31702444,-1.6702129,9.848842,-0.06863652
F088_210524_M462_167.mzML,0.6292201,2.7496305,-0.27898788,-1.5642941,9.867679,0.004483063
F088_210524_M462_193.mzML,-0.19023645,1.0478123,-0.36579877,-1.9419063,-5.3053336,3.036963
batch10/KL_200518_M436_139.mzML,-0.29815197,-0.1623651,-1.8143659,-2.579334,-3.7092946,8.334394
YW_200307_M431_001.mzML,2.3884118,0.78728,3.0578008,-1.1154038,5.0992074,16.655617
YW_200301_M431_141.mzML,3.2825596,0.33585018,2.468262,-1.3747848,4.7505035,16.969437
YW_200318_M431_023.mzML,0.8449729,-1.933432,1.9231043,-0.115619965,4.78438,18.513762
F088_210524_M462_259.mzML,0.7138651,3.1283712,-0.18008444,-1.2921504,9.885148,0.04977516
batch10/KL_200518_M436_103.mzML,3.0454807,1.0866146,-1.2916216,-1.5180198,-4.2265058,7.436541
YW_200307_M431_199.mzML,2.0132754,-0.27792454,1.4467493,-0.76873344,4.6897125,17.518364
F088_210524_M462_205.mzML,-0.81325597,-0.5312814,-0.7345048,1.1022708,15.367248,13.929575
batch33/VT_200930_M436_001.mzML,2.9905586,1.8800281,-0.75657153,-0.0886946,3.0300176,12.3984585
F088_210524_M462_169.mzML,-0.8408053,-0.5765402,-0.6317099,0.97706026,15.342377,13.952738
F088_210524_M462_157.mzML,0.36298954,2.3678157,-0.39925423,-1.6744269,9.812096,-0.13301086
YW_200227_M431_003.mzML,2.1350768,0.031495772,2.4995,-0.7480657,5.190505,16.597408
F088_210524_M462_227.mzML,1.4839983,4.489028,-0.10778761,-1.5070962,10.06339,0.11503252
B9_WU350-372_d3_polar_pos.mzML,-0.32143757,1.5520674,1.7865239,-1.3341948,11.56064,-8.542551
YW_200227_M431_001.mzML,1.8845246,-0.29873344,2.2620213,-0.56916934,5.258125,16.53892
F088_210524_M462_275.mzML,0.29988265,2.170826,-0.34933585,-1.711735,9.801837,-0.17173098
YW_200302_M431_005.mzML,2.0031738,0.8577241,3.3722463,-0.812819,5.119717,16.638992
YW_200301_M431_001.mzML,2.008882,0.54219925,3.0817432,-0.7124057,5.152114,16.612064
F088_210524_M462_005.mzML,-0.06635935,1.560441,-0.27832395,-2.0992167,-5.2993855,3.0186753
F088_210524_M462_177.mzML,-1.4898807,-1.2666932,-0.5996942,1.169175,15.295477,14.026488
YW_200307_M431_195.mzML,2.3503428,0.65534997,3.1889558,-0.96327126,5.083632,16.668055
YW_200318_M431_155.mzML,1.0995171,-1.075973,2.4198177,-0.19343363,4.746312,18.271374
F088_210524_M462_009.mzML,-0.25229815,1.5984743,-0.10584443,-1.8429239,-5.2635264,2.9813926
YW_200305_M431_017.mzML,3.049581,0.26159424,2.2212455,-1.2497579,4.7414603,17.0194
F088_210524_M462_263.mzML,0.22407311,2.1834207,-0.2967462,-1.5413655,9.781462,-0.18672684
batch10/KL_200518_M436_023.mzML,2.9183705,0.9049174,-1.2504638,-1.4726381,-4.227083,7.432769
YW_200318_M431_291.mzML,1.1288159,-1.0457435,2.2401118,-0.14729454,5.4116454,16.409767
YW_200227_M431_009.mzML,2.5950408,-0.073316,1.9110503,-0.8284873,4.675392,17.157644
YW_200318_M431_153.mzML,1.267821,-0.8209903,2.5357792,-0.12855354,4.7479954,18.267233
YW_200305_M431_267.mzML,2.441274,0.14780405,1.9746974,-0.955779,4.6267066,17.230309
VT_160214_065.mzML,0.31774932,10.821342,-4.52657,-0.9931929,10.274229,0.15159719
YW_200318_M431_021.mzML,0.95896584,-1.591191,1.9061768,-0.26147056,4.7888775,18.358727
YW_200302_M431_003.mzML,2.3530185,0.8540488,3.2901537,-1.1826433,5.0922875,16.659452
YW_200305_M431_281.mzML,2.4262521,0.7038795,2.990775,-1.1201801,5.107534,16.649363
YW_200227_M431_275.mzML,2.699541,0.08062227,2.0589817,-0.94232947,4.691236,17.118902
F088_210524_M462_207.mzML,0.7075509,2.8173864,-0.22438382,-1.4979298,9.870625,0.010292299
F088_210524_M462_123.mzML,0.6025679,2.913419,-0.15881644,-1.3328298,9.861692,0.021505509
YW_200301_M431_005.mzML,1.9482687,0.6869415,3.3794057,-0.7011049,5.114442,16.640392
YW_200305_M431_013.mzML,2.6730697,0.079921275,2.0280035,-0.9442434,4.6916275,17.09945
F088_210524_M462_171.mzML,0.21987595,2.004476,-0.43867284,-1.7297478,9.75982,-0.22367945
F088_210524_M462_137.mzML,0.56226426,2.6746378,-0.35804862,-1.6343303,9.840314,-0.05052391
YW_200227_M431_005.mzML,2.2065337,0.19002624,2.5986567,-0.82676387,5.209717,16.574831
F088_210524_M462_203.mzML,0.03347759,1.6237404,-0.46707657,-1.9553614,-5.286797,3.0105941
YW_200304_M431_287.mzML,1.851864,0.0005297959,2.5061219,-0.51286924,5.2308397,16.559486
batch10/KL_200518_M436_151.mzML,1.8768438,0.85517657,-1.0293431,-1.4224373,-4.1650186,7.5458856
YW_200226_M431_003.mzML,2.0942485,-0.10762386,2.4157963,-0.7043197,5.233426,16.55619
YW_200226_M431_283.mzML,2.0209363,-0.026788771,2.3889596,-0.66195446,5.2048764,16.58619
YW_200318_M431_019.mzML,0.91446483,-2.2429645,1.9404018,-0.052186027,4.7824388,18.518375
YW_200304_M431_285.mzML,1.8696477,-0.19160372,2.295725,-0.5279723,5.262812,16.535263
F088_210524_M462_003.mzML,0.40928832,2.568425,-0.21915074,-1.3312534,9.781469,-0.00040070846
YW_200319_M431_011.mzML,0.9196101,-2.3689804,2.011048,0.026074419,4.720786,18.537409
F088_210524_M462_055.mzML,-0.2994083,0.9785202,-0.5056786,-1.9894712,-5.333437,3.0692766
F088_210524_M462_125.mzML,-0.18670076,1.3945345,-0.44197088,-1.8995544,-5.2994933,3.0208807
F088_210524_M462_213.mzML,0.3047072,2.2593753,-0.3031961,-1.6479136,9.806147,-0.16630425
batch10/KL_200518_M436_039.mzML,3.0257616,1.0684146,-1.2231233,-1.3277206,-4.2313957,7.4292617
F088_210524_M462_085.mzML,0.6554088,2.6696305,-0.33767495,-1.4461337,9.847876,-0.0036841293
F088_210524_M462_143.mzML,-0.80646926,-0.5496122,-0.5621815,0.91165215,15.341202,13.953043
YW_200318_M431_287.mzML,0.964228,-2.0079055,1.9458153,-0.06846917,4.7587614,18.493504
YW_200320_M431_139.mzML,2.510336,-0.20900331,1.9259347,-0.89946115,4.6933756,17.15655
batch10/KL_200518_M436_127.mzML,0.49837396,0.65975237,-0.8405926,-2.0314763,-3.7552097,8.407616
