number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout_rate,params_finetune_epochs,params_finetune_lr,params_latent_size,params_num_hidden_layers,params_pretrain_adv_weight,params_pretrain_epochs,params_pretrain_lr,user_attrs_Hold Out Test Finetune AUC,user_attrs_Hold Out Test Rand AUC,user_attrs_finetune AUC avg,user_attrs_finetune AUC std,user_attrs_number of input peaks,user_attrs_pretrain Adv AUC,user_attrs_pretrain Head AUC,user_attrs_rand AUC avg,user_attrs_rand AUC std,user_attrs_reconstruction loss,state
13,0.8593690355618795,2024-03-14 03:22:28,2024-03-14 03:32:21,0 days 00:09:53,tanh,0.1,77,0.006419460450978561,44,3,0.5972071655024273,54,0.0009210593629651644,0.8484162092208862,0.8536953330039978,0.8593690355618795,0.02480976746755622,2736,0.6876497864723206,,0.8543809493382771,0.02659213070723034,0.5383332967758179,COMPLETE
14,0.871785722176234,2024-03-14 03:32:21,2024-03-14 03:35:22,0 days 00:03:01,tanh,0.1,12,0.0014823694349982773,13,4,5.089300270056037,17,0.00012774456321418615,0.8974359035491943,0.8650075197219849,0.871785722176234,0.01392246566211046,2736,0.4914673864841461,,0.8649761935075124,0.012764866496428908,0.6150130033493042,COMPLETE
15,0.8672976235548655,2024-03-14 03:35:23,2024-03-14 03:38:26,0 days 00:03:03,tanh,0.1,11,0.0011102660916834464,12,3,1.3291537404222344,15,0.00010424946340945817,0.8800904750823975,0.8966817259788513,0.8672976235548655,0.01072763721868466,2736,0.48793932795524597,,0.8654642879962922,0.01091445816730866,0.6191165447235107,COMPLETE
16,0.87105952501297,2024-03-14 03:38:26,2024-03-14 03:42:29,0 days 00:04:03,tanh,0.1,26,0.0012755850214336208,13,4,0.5057317723805036,20,0.0002149735687437658,0.8974359035491943,0.9110106229782104,0.87105952501297,0.011737064186278921,2736,0.5353737473487854,,0.869345243771871,0.011239907007553196,0.5792304277420044,COMPLETE
17,0.8577619055906932,2024-03-14 03:42:29,2024-03-14 03:45:17,0 days 00:02:48,tanh,0.1,9,0.00026583834219291285,15,2,5.319686960012183,18,0.00018283136799192987,0.9177979230880737,0.919306218624115,0.8577619055906932,0.007837054237900726,2736,0.5323641896247864,,0.8575476308663686,0.010638909078427496,0.5935367941856384,COMPLETE
18,0.8756428440411885,2024-03-14 03:45:17,2024-03-14 03:50:57,0 days 00:05:40,tanh,0.30000000000000004,39,0.0015026230683991032,34,4,1.7489855719485097,75,0.00015930971849290415,0.898189902305603,0.9064856767654419,0.8756428440411885,0.009820851743706022,2736,0.53273606300354,,0.8729404747486115,0.011758500517496898,0.5979766845703125,COMPLETE
19,0.846952372789383,2024-03-14 03:50:58,2024-03-14 03:56:42,0 days 00:05:44,leakyrelu,0.30000000000000004,40,0.0037952253263449664,44,3,1.5203419235888798,96,0.0003862964645411966,0.8646304607391357,0.889894425868988,0.846952372789383,0.026058166843454036,2736,0.9508453607559204,,0.8382619043191274,0.01995374959978357,0.597187340259552,COMPLETE
20,0.8654404719670613,2024-03-14 03:56:42,2024-03-14 04:04:50,0 days 00:08:08,tanh,0.30000000000000004,76,0.0008167227423859655,31,1,0.3041229562914166,119,0.0024009272167918503,0.8996983766555786,0.8981900215148926,0.8654404719670613,0.01674531870051906,2736,0.6396591663360596,,0.8673452397187551,0.009124364586275234,0.5906683206558228,COMPLETE
21,0.8722023765246073,2024-03-14 04:04:50,2024-03-14 04:09:07,0 days 00:04:17,tanh,0.2,22,0.0015648279018025423,62,4,1.9036734771532668,42,0.00015713572015867229,0.9042233228683472,0.8793363571166992,0.8722023765246073,0.01269543494708164,2736,0.6016378998756409,,0.8737857004006704,0.012098173042751114,0.5802686214447021,COMPLETE
22,0.8771904587745667,2024-03-14 04:09:07,2024-03-14 04:13:08,0 days 00:04:01,tanh,0.2,20,0.0017447493309127114,47,4,1.7395410914228862,67,0.00017614654123709777,0.8996983766555786,0.8959275484085083,0.8771904587745667,0.011438162772250321,2736,0.5888879895210266,,0.873964273929596,0.010400291362669675,0.5895201563835144,COMPLETE
23,0.8707738081614177,2024-03-14 04:13:08,2024-03-14 04:18:44,0 days 00:05:36,tanh,0.30000000000000004,36,0.0030575957230153245,58,3,0.8399653795463423,64,0.0002734834033598523,0.8800904750823975,0.8921568393707275,0.8707738081614177,0.01875256883677935,2736,0.611271321773529,,0.8761071383953094,0.021868370424530947,0.5922665596008301,COMPLETE
24,0.8665952364603678,2024-03-14 04:18:44,2024-03-14 04:22:22,0 days 00:03:38,tanh,0.2,17,0.005025807049340399,32,5,1.5235443357035001,183,0.00028998949105880076,0.8996983766555786,0.8951734304428101,0.8665952364603678,0.021464204169122612,2736,0.5851678252220154,,0.8688571472962697,0.0213732167106499,0.5834245085716248,COMPLETE
25,0.8685595154762268,2024-03-14 04:22:22,2024-03-14 04:30:17,0 days 00:07:55,tanh,0.4,61,0.0008470294656731922,54,4,3.5548404877023225,52,0.0006063232817504553,0.8872548937797546,0.8755655884742737,0.8685595154762268,0.009592224069848906,2736,0.6338798403739929,,0.8692619025707244,0.01045232463490712,0.6209874153137207,COMPLETE
26,0.868321426709493,2024-03-14 04:30:17,2024-03-14 04:35:12,0 days 00:04:55,tanh,0.30000000000000004,31,0.002172539497993573,34,3,0.6664844681858124,25,0.00016406251045796849,0.8642534613609314,0.9170437455177307,0.868321426709493,0.017344096583605376,2736,0.5489633083343506,,0.86832142273585,0.01776623783090474,0.6140464544296265,COMPLETE
27,0.8885000050067902,2024-03-14 04:35:12,2024-03-14 04:40:34,0 days 00:05:22,tanh,0.2,41,0.0002467314617474428,19,4,0.35163392031155133,499,0.0013999096655586156,0.9215686321258545,0.9125188589096069,0.8885000050067902,0.017284487612936866,2736,0.6049112677574158,,0.8603928645451864,0.005400897079150243,0.6437765955924988,COMPLETE
28,0.8476666927337646,2024-03-14 04:40:34,2024-03-14 04:52:16,0 days 00:11:42,sigmoid,0.2,103,0.0002016712073662419,18,5,0.3837326853548148,445,0.0006985538466050934,0.9102564454078674,0.9162896275520325,0.8476666927337646,0.008394870923444757,2736,0.6192561388015747,,0.8567500174045563,0.003960206819461349,0.6265100240707397,COMPLETE
29,0.839166659116745,2024-03-14 04:52:16,2024-03-14 04:56:01,0 days 00:03:45,leakyrelu,0.2,22,0.000325001236673069,9,3,0.2281955251036699,258,0.0018411694685442777,0.890648603439331,0.9079939723014832,0.839166659116745,0.01873833325951182,2736,0.8197395205497742,,0.8497142771879832,0.011462139264253162,0.5901129841804504,COMPLETE
30,0.764285683631897,2024-03-14 04:56:01,2024-03-14 04:58:09,0 days 00:02:08,tanh,0.1,6,0.00011199628535422376,22,4,1.0444359653682573,128,0.0015347661520387801,,,,,2736,0.6711263060569763,,,,0.6049817800521851,PRUNED
31,0.8700119157632192,2024-03-14 04:58:09,2024-03-14 05:03:55,0 days 00:05:46,tanh,0.2,44,0.002554219202529641,25,4,2.25791808085367,291,0.00021621401091888147,0.9215685725212097,0.8921568989753723,0.8700119157632192,0.01965010724601261,2736,0.5341468453407288,,0.8641071319580078,0.0204516828847453,0.6169305443763733,COMPLETE
32,0.8709880828857421,2024-03-14 05:03:56,2024-03-14 05:09:34,0 days 00:05:38,tanh,0.30000000000000004,33,0.0017382805643580042,69,4,3.2872246083412273,91,0.0012925995491666125,0.9155354499816895,0.8763197660446167,0.8709880828857421,0.0199409530655589,2736,0.6957896947860718,,0.8740238070487976,0.012126370205453287,0.5912245512008667,COMPLETE
